,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
40,782.7166612943014,3.7646223281435707,13.12024482091268,0.26966008832229843,822,2,2,sqrt,30,False,"{'n_estimators': 822, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-6.501637803252267,-8.011232553976892,-6.601571029467969,-7.038147128899044,0.6892837324835466,27
41,1472.2509174346924,17.99726764823547,10.265763600667318,0.15932760107314142,911,20,2,0.5,40,False,"{'n_estimators': 911, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 40, 'bootstrap': False}",-6.45642878149442,-8.075812033188175,-6.600162926731939,-7.044134580471511,0.7318623053369842,29
42,296.67942333221436,5.080994015659538,2.923425038655599,0.025218308562508566,1000,10,1,sqrt,10,True,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-6.773670511715487,-8.131695702267354,-6.75436125191872,-7.21990915530052,0.6447786402069843,35
43,1533.1205870310466,16.176390398105312,6.395074526468913,0.21094823379314484,466,5,4,,,False,"{'n_estimators': 466, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': None, 'bootstrap': False}",-8.744034551757409,-10.058691190325494,-8.766897942976946,-9.189874561686617,0.6144170322693879,49
44,375.5662778218587,9.061135067807843,8.090058406194052,0.06519351058897971,555,5,1,sqrt,50,True,"{'n_estimators': 555, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",-6.494537268265628,-8.020063020668664,-6.5853513973961535,-7.0333172287768155,0.6987189443902021,22
45,688.3148295879364,20.826352422646583,6.470700979232788,0.1124867384696533,644,2,8,0.5,50,True,"{'n_estimators': 644, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 50, 'bootstrap': True}",-6.407133118905724,-8.043877507562598,-6.551253809983103,-7.0007548121504755,0.7399420750581517,2
46,621.242303053538,8.885098377531616,13.392689228057861,0.1854690675282933,911,5,1,sqrt,80,True,"{'n_estimators': 911, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'bootstrap': True}",-6.489690442748035,-8.002746449499607,-6.5831128608037055,-7.025183251017116,0.6922929497061829,19
47,2093.1542162895203,68.8881349928419,10.16304318110148,0.23424799235440094,1000,5,8,,30,True,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': None, 'max_depth': 30, 'bootstrap': True}",-6.691455850386698,-8.174312356481932,-6.823725812424568,-7.2298313397644,0.6700284217450347,40
48,224.8576180934906,1.0505544118253791,1.656326691309611,0.06142004219159338,555,5,2,log2,10,False,"{'n_estimators': 555, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}",-6.806866018917008,-8.131071640992555,-6.76146584599546,-7.233134501968341,0.6352079046289072,41
49,1521.2150755723317,1.5534951183673935,6.6251217524210615,0.19852428804901934,822,10,8,,20,True,"{'n_estimators': 822, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': None, 'max_depth': 20, 'bootstrap': True}",-6.667708932710557,-8.168360783290781,-6.7990986587994655,-7.211722791600269,0.6785685916641853,34
